s,z1,z2
0,0.003998,0.007690
1,0.003769,0.003998
2,0.003983,0.004135
3,0.003372,0.004028
4,0.003723,0.004166
5,0.003967,0.003876
6,0.003708,0.003647
7,0.004089,0.003967
8,0.004181,0.004013
9,0.003723,0.004013
10,0.003662,0.003952
11,0.004013,0.003891
12,0.003693,0.003769
13,0.003891,0.003708
14,0.003494,0.003616
15,0.003708,0.003998
16,0.003784,0.003769
17,0.004028,0.003738
18,0.003479,0.003815
19,0.004028,0.003647
20,0.004150,0.003494
21,0.004013,0.003876
22,0.004059,0.003876
23,0.004059,0.003845
24,0.003860,0.003342
25,0.003906,0.003754
26,0.004349,0.003265
27,0.003952,0.003815
28,0.004379,0.004166
29,0.003403,0.003983
30,0.004303,0.003784
31,0.004120,0.003662
32,0.003876,0.003983
33,0.003662,0.004196
34,0.003815,0.004425
35,0.004517,0.003784
36,0.004013,0.003616
37,0.003586,0.003845
38,0.003723,0.003906
39,0.003525,0.003983
40,0.003738,0.003799
41,0.003616,0.004013
42,0.003876,0.003723
43,0.003845,0.003937
44,0.003860,0.003860
45,0.003693,0.004410
46,0.004150,0.003830
47,0.003525,0.004440
48,0.004089,0.004105
49,0.003799,0.003693
50,0.003967,0.003647
51,0.004013,0.003830
52,0.003952,0.003922
53,0.003769,0.003860
54,0.003784,0.003860
55,0.003891,0.004166
56,0.003891,0.003693
57,0.003830,0.003433
58,0.003876,0.003983
59,0.004288,0.003830
60,0.003906,0.003906
61,0.003769,0.003998
62,0.003403,0.003754
63,0.003876,0.003708
64,0.003738,0.003799
65,0.003967,0.004425
66,0.003937,0.003723
67,0.004044,0.004166
68,0.004181,0.004059
69,0.004150,0.004166
70,0.003845,0.003830
71,0.003571,0.004150
72,0.003677,0.004120
73,0.003967,0.004013
74,0.003876,0.004013
75,0.003860,0.003632
76,0.003769,0.004013
77,0.003830,0.003952
78,0.003891,0.003876
79,0.003693,0.003632
80,0.003708,0.003693
81,0.003937,0.003662
82,0.003845,0.004044
83,0.004242,0.003403
84,0.004425,0.004181
85,0.003693,0.003571
86,0.003845,0.003754
87,0.004089,0.003983
88,0.003662,0.004028
89,0.003922,0.003433
90,0.003693,0.003510
91,0.003586,0.003922
92,0.003799,0.003906
93,0.003586,0.003937
94,0.004456,0.003571
95,0.003937,0.003937
96,0.004257,0.003967
97,0.003937,0.004044
98,0.003830,0.004257
99,0.004166,0.003586
100,0.003922,0.004349
101,0.003906,0.003830
102,0.003754,0.003555
103,0.004227,0.004013
104,0.003998,0.003906
105,0.004456,0.004166
106,0.003922,0.003967
107,0.003601,0.003708
108,0.003815,0.004166
109,0.003845,0.003693
110,0.003952,0.004242
111,0.003815,0.003967
112,0.004318,0.003754
113,0.003967,0.003738
114,0.003494,0.004150
115,0.004395,0.003662
116,0.004150,0.003876
117,0.003448,0.003876
118,0.004166,0.003845
119,0.004120,0.003922
120,0.003937,0.003708
121,0.004028,0.003677
122,0.004013,0.004166
123,0.003601,0.003540
124,0.003830,0.004822
125,0.003448,0.003738
126,0.004120,0.003754
127,0.003662,0.004623
128,0.003815,0.003601
129,0.003998,0.003967
130,0.003784,0.003952
131,0.004059,0.003891
132,0.004242,0.003647
133,0.003494,0.003922
134,0.003769,0.003418
135,0.003922,0.004303
136,0.003662,0.003769
137,0.004105,0.003998
138,0.003922,0.003922
139,0.003677,0.004272
140,0.003647,0.003998
141,0.003647,0.004166
142,0.004135,0.004044
143,0.004074,0.003876
144,0.003983,0.003937
145,0.003891,0.004105
146,0.004379,0.004257
147,0.003998,0.003433
148,0.004044,0.003677
149,0.003632,0.003967
150,0.003723,0.003448
151,0.004257,0.003754
152,0.004089,0.003677
153,0.004013,0.004303
154,0.003769,0.003967
155,0.004120,0.003571
156,0.003876,0.004150
157,0.003937,0.004044
158,0.004242,0.004379
159,0.004700,0.003876
160,0.003937,0.003784
161,0.003525,0.003586
162,0.003906,0.003830
163,0.004196,0.003815
164,0.004425,0.003922
165,0.003876,0.004257
166,0.003754,0.003784
167,0.003998,0.003906
168,0.003464,0.003906
169,0.004089,0.004242
170,0.003662,0.003662
171,0.003235,0.003830
172,0.004425,0.004013
173,0.003983,0.003632
174,0.004105,0.004288
175,0.004150,0.003952
176,0.003891,0.004303
177,0.004227,0.003860
178,0.003891,0.004150
179,0.004028,0.004028
180,0.003723,0.003647
181,0.003754,0.003891
182,0.003815,0.003922
183,0.003922,0.003906
184,0.003937,0.004120
185,0.003815,0.003860
186,0.003662,0.003555
187,0.004410,0.003738
188,0.003906,0.003830
189,0.004181,0.004044
190,0.004135,0.003891
191,0.003891,0.003937
192,0.003860,0.003723
193,0.003922,0.003632
194,0.003998,0.003860
195,0.004013,0.004288
196,0.004120,0.003723
197,0.004089,0.004028
198,0.003662,0.003723
199,0.003845,0.003464
200,0.004318,0.003784
201,0.003891,0.004227
202,0.003586,0.004196
203,0.003738,0.003830
204,0.004395,0.003662
205,0.004074,0.003815
206,0.004166,0.003876
207,0.003708,0.003662
208,0.004272,0.003159
209,0.003403,0.003937
210,0.004044,0.003555
211,0.004425,0.003784
212,0.003815,0.004349
213,0.003799,0.003784
214,0.003952,0.003357
215,0.003830,0.003906
216,0.003922,0.004120
217,0.004272,0.004028
218,0.003616,0.004013
219,0.003830,0.003799
220,0.003555,0.004120
221,0.003677,0.003586
222,0.003708,0.003815
223,0.003937,0.003830
224,0.003448,0.003983
225,0.004089,0.003815
226,0.003433,0.003845
227,0.004120,0.003754
228,0.003494,0.003799
229,0.003464,0.003738
230,0.004044,0.004105
231,0.003845,0.003632
232,0.004440,0.003357
233,0.003998,0.004272
234,0.003647,0.003738
235,0.003830,0.004135
236,0.003983,0.003784
237,0.003586,0.003876
238,0.003693,0.004059
239,0.003983,0.004333
240,0.003586,0.003906
241,0.004120,0.004028
242,0.003876,0.003708
243,0.003952,0.004059
244,0.003723,0.003967
245,0.003616,0.004074
246,0.003738,0.003555
247,0.003784,0.004257
248,0.003799,0.003845
249,0.004044,0.004150
250,0.004013,0.003998
251,0.004120,0.003693
252,0.003860,0.003754
253,0.003799,0.004211
254,0.004028,0.003693
255,0.004395,0.004059
